title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
臼杵市民会館,大分県臼杵市大字臼杵72-83,33.125483,131.80638,large,#FF0000,#FFFFFF,2
社会福祉センター,大分県臼杵市大字臼杵4-1,33.12165,131.798483,,#FF0000,#FFFFFF,2
諏訪山体育館,大分県臼杵市大字諏訪595-5,33.132787,131.797373,,#FF0000,#FFFFFF,2
臼杵市柔剣道場,大分県臼杵市大字臼杵81-95,33.124515,131.802442,,#FF0000,#FFFFFF,2
臼杵中央公民館,大分県臼杵市大字臼杵2-107-562,33.123266,131.807496,,#FF0000,#FFFFFF,2
野津中央公民館,大分県臼杵市野津町大字野津市184,33.045051,131.693936,,#FF0000,#FFFFFF,2
中臼杵農村環境改善センター,大分県臼杵市大字武山1838,33.104091,131.730527,,#FF0000,#FFFFFF,2
臼杵小学校,大分県臼杵市大字臼杵65,33.124709,131.800189,,#FF0000,#FFFFFF,2
福良ヶ丘小学校（体育館含）,大分県臼杵市大字福良360-1,33.1147484,131.7943117,,#FF0000,#FFFFFF,2
市浜小学校,大分県臼杵市大字戸室503,33.118408,131.787184,,#FF0000,#FFFFFF,2
下南小学校,大分県臼杵市大字望月815,33.102842,131.772911,,#FF0000,#FFFFFF,2
海辺小学校,大分県臼杵市大字大浜173,33.136764,131.80845,,#FF0000,#FFFFFF,2
佐志生小学校,大分県臼杵市大字佐志生3015-1,33.177042,131.827601,,#FF0000,#FFFFFF,2
下ノ江小学校,大分県臼杵市大字大野1955,33.152453,131.80617,,#FF0000,#FFFFFF,2
下北小学校,大分県臼杵市大字稲田862,33.145104,131.790109,,#FF0000,#FFFFFF,2
上北小学校,大分県臼杵市大字末広2487-2,33.139763,131.757102,,#FF0000,#FFFFFF,2
臼杵市文化財管理センター,大分県臼杵市大字吉小野4296,33.109312,131.730537,,#FF0000,#FFFFFF,2
臼杵南小学校,大分県臼杵市大字掻懐1483,33.091472,131.757472,,#FF0000,#FFFFFF,2
野津小学校,大分県臼杵市野津町大字山頭3100,33.045407,131.699531,,#FF0000,#FFFFFF,2
旧田野小学校,大分県臼杵市野津町大字亀甲4014,33.046131,131.721112,,#FF0000,#FFFFFF,2
川登小学校,大分県臼杵市野津町大字清水原1341,33.005674,131.717915,,#FF0000,#FFFFFF,2
南野津小学校,大分県臼杵市野津町大字西畑600,33.012827,131.66721,,#FF0000,#FFFFFF,2
東中学校,大分県臼杵市大字臼杵71-18,33.125321,131.802909,,#FF0000,#FFFFFF,2
西中学校,大分県臼杵市大字戸室535,33.1193864,131.785757,,#FF0000,#FFFFFF,2
北中学校,大分県臼杵市大字江無田132-1,33.130531,131.790164,,#FF0000,#FFFFFF,2
南中学校,大分県臼杵市大字掻懐2227,33.09706,131.749497,,#FF0000,#FFFFFF,2
野津中学校,大分県臼杵市野津町大字野津市666,33.037686,131.687526,,#FF0000,#FFFFFF,2
戸上ふれあい広場,大分県臼杵市野津町大字西寒田2989,33.064619,131.660103,,#FF0000,#FFFFFF,2
都松地区ふれあいセンター,大分県臼杵市野津町大字都原1014,33.06674,131.7119,,#FF0000,#FFFFFF,2
上浦・深江地区コミュニティセンター,大分県臼杵市大字深江1509,33.12165,131.880189,,#FF0000,#FFFFFF,2
宮本地域体育館,大分県臼杵市大字東神野3402,33.03988,131.774102,,#FF0000,#FFFFFF,2
西神野ふれ愛センター,大分県臼杵市野津町大字西神野1070,33.031848,131.76163,,#FF0000,#FFFFFF,2
臼杵高等学校,大分県臼杵市大字海添2521,33.117863,131.804969,,#FF0000,#FFFFFF,2
海洋科学高等学校,大分県臼杵市大字諏訪254-1-2,33.135546,131.804835,,#FF0000,#FFFFFF,2
南野津地区公民館,大分県臼杵市野津町大字吉田161,33.015548,131.665151,,#FF0000,#FFFFFF,2
田野地区公民館,大分県臼杵市野津町大字亀甲4010,33.046466,131.721203,,#FF0000,#FFFFFF,2
臼杵支援学校,大分県臼杵市大字井村911,33.142328,131.777347,,#FF0000,#FFFFFF,2
市浜地区コミュニティセンター,大分県臼杵市大字前田1851-8,33.117441,131.780078,,#FF0000,#FFFFFF,2
